"Industrial Production, Original and Seasonally Adjusted by Country and Month"

"Country","Month","Industrial Production index, original, 2010=100"
"Armenia","2006M06",120.3
"Armenia","2006M07",121.0
"Armenia","2006M08",109.6
"Armenia","2006M09",114.2
"Armenia","2006M10",123.2
"Armenia","2006M11",118.6
"Armenia","2006M12",128.2
"Armenia","2007M01",100.1
"Armenia","2007M02",102.0
"Armenia","2007M03",123.1
"Armenia","2007M04",113.9
"Armenia","2007M05",121.5
"Armenia","2007M06",127.4
"Armenia","2007M07",126.2
"Armenia","2007M08",119.2
"Armenia","2007M09",124.5
"Armenia","2007M10",127.7
"Armenia","2007M11",135.9
"Armenia","2007M12",137.5
"Armenia","2008M01",104.5
"Armenia","2008M02",110.7
"Armenia","2008M03",119.4
"Armenia","2008M04",113.5
"Armenia","2008M05",115.6
"Armenia","2008M06",124.9
"Armenia","2008M07",133.0
"Armenia","2008M08",127.8
"Armenia","2008M09",137.3
"Armenia","2008M10",141.0
"Armenia","2008M11",124.9
"Armenia","2008M12",128.8
"Armenia","2009M01",91.8
"Armenia","2009M02",96.0
"Armenia","2009M03",97.9
"Armenia","2009M04",87.9
"Armenia","2009M05",94.4
"Armenia","2009M06",96.3
"Armenia","2009M07",101.8
"Armenia","2009M08",97.3
"Armenia","2009M09",103.6
"Armenia","2009M10",108.9
"Armenia","2009M11",107.8
"Armenia","2009M12",117.1
"Armenia","2010M01",83.6
"Armenia","2010M02",91.8
"Armenia","2010M03",98.9
"Armenia","2010M04",96.2
"Armenia","2010M05",90.1
"Armenia","2010M06",96.0
"Armenia","2010M07",100.4
"Armenia","2010M08",102.6
"Armenia","2010M09",102.7
"Armenia","2010M10",105.0
"Armenia","2010M11",113.0
"Armenia","2010M12",119.7
"Armenia","2011M01",89.3
"Armenia","2011M02",93.7
"Armenia","2011M03",105.2
"Armenia","2011M04",102.6
"Armenia","2011M05",114.8
"Armenia","2011M06",120.2
"Armenia","2011M07",114.3
"Armenia","2011M08",118.6
"Armenia","2011M09",129.7
"Armenia","2011M10",125.9
"Armenia","2011M11",123.7
"Armenia","2011M12",132.0
"Armenia","2012M01",98.2
"Armenia","2012M02",103.4
"Armenia","2012M03",108.1
"Armenia","2012M04",106.5
"Armenia","2012M05",124.1
"Armenia","2012M06",119.9
"Armenia","2012M07",124.5
"Armenia","2012M08",122.4
"Armenia","2012M09",122.1
"Armenia","2012M10",125.2
"Armenia","2012M11",134.6
"Armenia","2012M12",150.2
"Armenia","2013M01",118.5
"Armenia","2013M02",117.6
"Armenia","2013M03",127.1
"Armenia","2013M04",110.2
"Armenia","2013M05",115.7
"Armenia","2013M06",132.9
"Armenia","2013M07",123.6
"Armenia","2013M08",129.4
"Armenia","2013M09",138.4
"Armenia","2013M10",146.2
"Armenia","2013M11",143.9
"Armenia","2013M12",160.4
"Armenia","2014M01",106.2
"Armenia","2014M02",105.9
"Armenia","2014M03",119.6
"Armenia","2014M04",112.6
"Armenia","2014M05",118.2
"Armenia","2014M06",125.9
"Armenia","2014M07",134.6
"Armenia","2014M08",122.8
"Armenia","2014M09",141.2
"Armenia","2014M10",144.3
"Armenia","2014M11",143.3
"Armenia","2014M12",147.2
"Armenia","2015M01",100.4
"Armenia","2015M02",114.2
"Armenia","2015M03",124.0
"Armenia","2015M04",122.8
"Armenia","2015M05",121.6
"Armenia","2015M06",135.2
"Armenia","2015M07",133.0
"Armenia","2015M08",138.3
"Armenia","2015M09",145.3
"Armenia","2015M10",146.7
"Armenia","2015M11",146.0
"Armenia","2015M12",159.6
"Armenia","2016M01",112.3
"Armenia","2016M02",116.6
"Armenia","2016M03",129.3
"Armenia","2016M04",135.4
"Armenia","2016M05",130.1
"Armenia","2016M06",144.9
"Armenia","2016M07",136.0
"Armenia","2016M08",140.6
"Armenia","2016M09",152.4
"Armenia","2016M10",148.6
"Armenia","2016M11",157.0
"Armenia","2016M12",167.1
"Armenia","2017M01",127.2
"Armenia","2017M02",141.3
"Armenia","2017M03",157.8
"Armenia","2017M04",146.8
"Armenia","2017M05",165.4
"Armenia","2017M06",159.8
"Armenia","2017M07",164.1
"Armenia","2017M08",162.6
"Armenia","2017M09",170.2
"Armenia","2017M10",176.5
"Armenia","2017M11",176.0
"Armenia","2017M12",194.0
"Armenia","2018M01",145.5
"Armenia","2018M02",146.0
"Armenia","2018M03",171.6
"Armenia","2018M04",144.8
"Armenia","2018M05",164.1
"Armenia","2018M06",173.6
"Armenia","2018M07",179.5
"Armenia","2018M08",174.9
"Armenia","2018M09",176.4
"Armenia","2018M10",195.8
"Armenia","2018M11",182.5
"Armenia","2018M12",205.3
"Armenia","2019M01",110.7
"Armenia","2019M02",119.9
"Armenia","2019M03",140.0
"Armenia","2019M04",135.8
"Armenia","2019M05",143.8
"Armenia","2019M06",152.9
"Armenia","2019M07",163.1
"Armenia","2019M08",163.4
"Armenia","2019M09",164.4
